"id","sortCategory","text","name","image","slug"
"0","1","The only card back you'll ever need.","Classic","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f7d4aa4cdcf78441cc8d0bae954a55a271ad9cedc89c611b8fc0cf0859a8a32f.png","0-classic"
"1","5","Hearthstone is a very popular game in Pandaria. Official card game of the Shado-Pan! Acquired from achieving Rank 20 in Ranked Play, April 2014.","Pandaria","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b2333f26ad0a1c05a784f7dfc3cf088527fe4dbc3cc745db69cc6d809cae481f.png","1-pandaria"
"2","5","""Fel Flame Green"" is always in fashion at the Black Temple. Acquired from achieving Rank 20 in Ranked Play, May 2014.","Black Temple","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1688973e2a8f7de364432bdf779f5cb3df5b73e880b82a13564507033c27030e.png","2-black-temple"
"3","5","Unfortunately, the rainbow generator can only produce oval rainbows. Gnomish technology still has a ways to go. Acquired from achieving Rank 20 in Ranked Play, June 2014.","Rainbow!","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0b0c51a191761a7cab6e9f8a14d1ba73b59769433deb05b4b03fa58e1ece9d1b.png","3-rainbow"
"4","2","A generous gift from the Innkeeper. He loves to see his guests having a good time together. Play three matches against players at a Fireside Gathering.","Fireside","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/04a1f1d5ec480f9bd1b4405f919937d89a07ba68849a6a36eadfccaccc1badd6.png","4-fireside"
"5","6","Wow. Hardcore. Acquired from achieving Legend Rank in Ranked Play.","Legend","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d63c61999d96d5274157b6773b9d5df268db1f45e1fec83b1fa4cd8692364674.png","5-legend"
"6","5","The gooey center is Ooze slime. Don't lick it. Acquired from achieving Rank 20 in Ranked Play, July 2014, or when available in the shop.","Naxxramas","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3aa1f98339981c49174a60455887627fa41f6b9795eb0279df24616e9d2260ff.png","6-naxxramas"
"7","3","You can tell a lot about an Abomination by his stitching. This one just screams ""insane"". Literally. Acquired from completing the Curse of Naxxramas in Heroic mode.","Heroic Naxxramas","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b014125a707fa8bd1e53d701b2d58b55d05932c1930836b8884ad5ce5ad21a73.png","7-heroic-naxxramas"
"8","5","In the frozen heart of Icecrown Citadel, a hero's mettle will be tested. Bring a parka. Acquired from achieving Rank 20 in Ranked Play, August 2014.","Icecrown","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/68ccba4348dffb19f3ca71b5b92c0214bc8899b3e32c466d19840f4feb7d782e.png","8-icecrown"
"9","5","Treasure. Grog. Hooks for hands. Way better than Ninjas! Acquired from achieving Rank 20 in Ranked Play, September 2014.","Pirates!","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0904b701d72dcc801f7b4a4d5795ce04d71c65efd0b374d31bbb3c7336ca7620.png","9-pirates"
